Mã trường,Tên trường,Tên ngành,Điểm,Năm
QSQ,Đại Học Quốc Tế ,công nghệ thông tin,---,2016
QSQ,Đại Học Quốc Tế ,công nghệ thông tin (west of england),---,2016
QSQ,Đại Học Quốc Tế ,công nghệ thông tin (nottingham),---,2016
QSQ,Đại Học Quốc Tế ,công nghệ thông tin,23.5,2017
QSQ,Đại Học Quốc Tế ,công nghệ thông tin (chương trình liên kết với đại học nước ngoài),16.5,2017
QSQ,Đại Học Quốc Tế ,công nghệ thông tin,19,2018
QSQ,Đại Học Quốc Tế ,công nghệ thông tin (chương trình liên kết với đại học nước ngoài),16,2018
QSQ,Đại Học Quốc Tế ,công nghệ thông tin,20,2019
QSQ,Đại Học Quốc Tế ,công nghệ thông tin (chương trình liên kết với đại học nước ngoài),16,2019
QSQ,Đại Học Quốc Tế ,công nghệ thông tin,22,2020
TAG,Đại Học An Giang,công nghệ thông tin,15,2016
TAG,Đại Học An Giang,công nghệ thông tin,17,2017
TAG,Đại Học An Giang,công nghệ thông tin,16,2018
TAG,Đại Học An Giang,công nghệ thông tin,10,2018
TAG,Đại Học An Giang,công nghệ thông tin,15.5,2019
TAG,Đại Học An Giang,công nghệ thông tin,18.5,2020
QSC,Đại Học Công Nghệ Thông Tin ,công nghệ thông tin,23,2016
QSC,Đại Học Công Nghệ Thông Tin ,công nghệ thông tin,25.75,2017
QSC,Đại Học Công Nghệ Thông Tin ,công nghệ thông tin (đào tạo tại phân hiệu đhqg-hcm tại bến tre),---,2017
QSC,Đại Học Công Nghệ Thông Tin ,công nghệ thông tin (chất lượng cao định hướng nhật bản),---,2017
QSC,Đại Học Công Nghệ Thông Tin ,công nghệ thông tin (khoa học dữ liệu),---,2017
QSC,Đại Học Công Nghệ Thông Tin ,công nghệ thông tin,22.5,2018
QSC,Đại Học Công Nghệ Thông Tin ,công nghệ thông tin (đào tạo tại phân hiệu đhqg -hcm tại bến tre),20.5,2018
QSC,Đại Học Công Nghệ Thông Tin ,công nghệ thông tin (chất lượng cao định hướng nhật bản),19,2018
QSC,Đại Học Công Nghệ Thông Tin ,công nghệ thông tin (khoa học dữ liệu),20.6,2018
QSC,Đại Học Công Nghệ Thông Tin ,công nghệ thông tin,24.65,2019
QSC,Đại Học Công Nghệ Thông Tin ,công nghệ thông tin (đào tạo tại phân hiệu đhqg-hcm tại bến tre),22.9,2019
QSC,Đại Học Công Nghệ Thông Tin ,công nghệ thông tin (chất lượng cao định hướng nhật bản),21.3,2019
QSC,Đại Học Công Nghệ Thông Tin ,công nghệ thông tin,27,2020
QSC,Đại Học Công Nghệ Thông Tin ,công nghệ thông tin (chất lượng cao định hướng nhật bản ),23.7,2020
QSB,Đại Học Bách Khoa ,"khoa học máy tính (clc, giảng dạy bằng tiếng anh, học phí tương ứng)",23.25,2016
QSB,Đại Học Bách Khoa ,khoa học máy tính; kỹ thuật máy tính,25.5,2016
QSB,Đại Học Bách Khoa ,"khoa học máy tính (clc, giảng dạy bằng tiếng anh, học phí tương ứng)",23.25,2016
QSB,Đại Học Bách Khoa ,khoa học máy tính; kỹ thuật máy tính,25.5,2016
QSB,Đại Học Bách Khoa ,khoa học máy tính; kỹ thuật máy tính; (nhóm ngành),28,2017
QSB,Đại Học Bách Khoa ,khoa học máy tính (ct chất lượng cao. giảng dạy bằng tiếng anh. học phí tương ứng),26,2017
QSB,Đại Học Bách Khoa ,khoa học máy tính; kỹ thuật máy tính; (nhóm ngành),23.25,2018
QSB,Đại Học Bách Khoa ,"khoa học máy tính (ct chất lượng cao, giảng dạy bằng tiếng anh, học phí tương ứng)",22,2018
QSB,Đại Học Bách Khoa ,khoa học máy tính,25.75,2019
QSB,Đại Học Bách Khoa ,"khoa học máy tính (ct chất lượng cao, giảng dạy bằng tiếng anh, học phí tương ứng)",24.75,2019
QSB,Đại Học Bách Khoa ,ngành khoa học máy tính,28,2020
QSB,Đại Học Bách Khoa ,khoa học máy tính,27.25,2020
QSB,Đại Học Bách Khoa ,khoa học máy tính - (clc tăng cường tiếng nhật),24,2020
QST,Đại Học Khoa Học Tự Nhiên ,"công nghệ thông tin (việt - pháp): chương trình đào tạo hợp tác đại học claude bernard lyon 1, pháp",17,2016
QST,Đại Học Khoa Học Tự Nhiên ,"công nghệ thông tin (tiên tiến): chương trình tiên tiến hợp tác với trường đh portland, hoa kỳ ",22,2016
QST,Đại Học Khoa Học Tự Nhiên ,công nghệ thông tin (chất lượng cao): chương trình đào tạo đạt chuẩn kiểm định quốc tế aun-qa,20,2016
QST,Đại Học Khoa Học Tự Nhiên ,công nghệ thông tin,23,2016
QST,Đại Học Khoa Học Tự Nhiên ,công nghệ thông tin,26,2017
QST,Đại Học Khoa Học Tự Nhiên ,công nghệ thông tin,26,2017
QST,Đại Học Khoa Học Tự Nhiên ,công nghệ thông tin,26,2017
QST,Đại Học Khoa Học Tự Nhiên ,công nghệ thông tin,26,2017
QST,Đại Học Khoa Học Tự Nhiên ,công nghệ thông tin (chương trình chất lượng cao),25,2017
QST,Đại Học Khoa Học Tự Nhiên ,công nghệ thông tin (chương trình chất lượng cao),25,2017
QST,Đại Học Khoa Học Tự Nhiên ,công nghệ thông tin (chương trình chất lượng cao),25,2017
QST,Đại Học Khoa Học Tự Nhiên ,công nghệ thông tin (chương trình chất lượng cao),25,2017
QST,Đại Học Khoa Học Tự Nhiên ,công nghệ thông tin (chương trình tiên tiến),25,2017
QST,Đại Học Khoa Học Tự Nhiên ,công nghệ thông tin (chương trình tiên tiến),25,2017
QST,Đại Học Khoa Học Tự Nhiên ,công nghệ thông tin (chương trình tiên tiến),25,2017
QST,Đại Học Khoa Học Tự Nhiên ,công nghệ thông tin (chương trình tiên tiến),25,2017
QST,Đại Học Khoa Học Tự Nhiên ,công nghệ thông tin (chương trình liên kết việt - pháp),21.25,2017
QST,Đại Học Khoa Học Tự Nhiên ,công nghệ thông tin (chương trình liên kết việt - pháp),21.25,2017
QST,Đại Học Khoa Học Tự Nhiên ,công nghệ thông tin (chương trình liên kết việt - pháp),21.25,2017
QST,Đại Học Khoa Học Tự Nhiên ,công nghệ thông tin (chương trình liên kết việt - pháp),---,2017
QST,Đại Học Khoa Học Tự Nhiên ,nhóm ngành máy tính và công nghệ thông tin,22.75,2018
QST,Đại Học Khoa Học Tự Nhiên ,công nghệ thông tin- chương trình chất lượng cao,21.2,2018
QST,Đại Học Khoa Học Tự Nhiên ,công nghệ thông tin- chương trình tiên tiến,21.4,2018
QST,Đại Học Khoa Học Tự Nhiên ,công nghệ thông tin- chương trình việt pháp,20.1,2018
QST,Đại Học Khoa Học Tự Nhiên ,công nghệ thông tin (chương trình chất lượng cao),23.2,2019
QST,Đại Học Khoa Học Tự Nhiên ,nhóm ngành máy tính và công nghệ thông tin,25,2019
QST,Đại Học Khoa Học Tự Nhiên ,công nghệ thông tin (chương trình liên kết việt - pháp),21,2019
QST,Đại Học Khoa Học Tự Nhiên ,nhóm ngành máy tính và công nghệ thông tin (hệ thống thông tin; khoa học máy tính; kỹ thuật phần mềm; truyền thông & mạng máy tính),27.2,2020
QST,Đại Học Khoa Học Tự Nhiên ,công nghệ thông tin (ct chất lượng cao),25.75,2020
QST,Đại Học Khoa Học Tự Nhiên ,công nghệ thông tin (ctlk việt - pháp),24.7,2020
